circuito,nome,p1,p2,p3,p4,p5,p6,pos
Monte Carlo,Vinícius,LEC,VER,SAI,PER,NOR,RUS,
Monte Carlo,Guilherme,LEC,VER,PER,RUS,SAI,NOR,
Monte Carlo,DALLA,LEC,VER,PER,SAI,NOR,RUS,
Monte Carlo,Lage,LEC,PER,VER,SAI,NOR,GAS,
Baku,Caliman,LEC,PER,VER,SAI,RUS,HAM,
Baku,Guilherme,PER,LEC,VER,SAI,HAM,RUS,
Baku,Francez,LEC,VER,PER,HAM,SAI,ALO,
Baku,Igor,LEC,PER,VER,SAI,HAM,RUS,
Baku,Vinícius,LEC,VER,PER,SAI,RUS,ALO,
Baku,Ferrari,PER,LEC,VER,SAI,RUS,HAM,
Baku,DALLA,PER,LEC,VER,SAI,RUS,NOR,
Baku,Lage,PER,LEC,VER,SAI,NOR,ALO,
Montreal,Vinicius,VER,SAI,LEC,PER,ALO,GAS,
Montreal,Ferrari nessa corrida desgraçada tomar no cu,LEC,PER,VER,SAI,RUS,ALO,
Montreal,Caliman,VER,PER,LEC,SAI,RUS,ALO,
Montreal,DALLA,VER,LEC,PER,SAI,RUS,GAS,
Montreal,Francez,LEC,VER,SAI,PER,GAS,RUS,
Montreal,Igor,VER,LEC,SAI,ALO,PER,GAS,
Montreal,Lage,VER,PER,LEC,SAI,RUS,GAS,
Montreal,Rodrigo,VER,LEC,SAI,VET,ALO,GAS,
Montreal,Guilherme,VER,PER,SAI,LEC,ALO,VET,
Silverstone,Guilherme,VER,LEC,SAI,NOR,HAM,RUS,
Silverstone,Ferrari,LEC,VER,HAM,RUS,PER,SAI,
Silverstone,Igor,LEC,VER,SAI,PER,NOR,RUS,
Silverstone,Dalla,VER,LEC,HAM,PER,SAI,RUS,
Silverstone,Vinícius,VER,LEC,PER,SAI,HAM,RUS,
Silverstone,Caliman,VER,LEC,SAI,HAM,PER,RUS,
Spielberg,Caliman,VER,LEC,SAI,HAM,PER,RUS,
Spielberg,Guilherme,VER,LEC,PER,RUS,SAI,HAM,
Spielberg,Ferrari,LEC,VER,HAM,PER,SAI,ALO,
Spielberg,Vinícius,LEC,VER,PER,SAI,RUS,HAM,
Spielberg,DALLA,VER,LEC,SAI,PER,HAM,ALO,
Spielberg,Francez,VER,LEC,PER,SAI,HAM,RUS,
Spielberg,Igor,VER,LEC,PER,HAM,SAI,RUS,
Spielberg,Lage,VER,LEC,PER,SAI,HAM,RUS,
Le Castellet,Guilherme,LEC,SAI,VER,HAM,PER,RUS,
Le Castellet,Francez,VER,LEC,HAM,RUS,PER,GAS,
Le Castellet,Caliman,LEC,VER,PER,HAM,RUS,NOR,
Le Castellet,Igor,LEC,VER,SAI,RUS,HAM,NOR,
Le Castellet,Ferrari,LEC,VER,HAM,PER,,,
Le Castellet,Vinícius,LEC,VER,RUS,HAM,PER,NOR,
Le Castellet,Lage,LEC,VER,SAI,RUS,PER,NOR,
Le Castellet,Dalla,LEC,VER,SAI,HAM,PER,RUS,
Budapest,Vinícius,LEC,SAI,VER,NOR,ALO,PER,
Budapest,Igor,LEC,SAI,VER,PER,ALO,NOR,
Budapest,Caliman,LEC,VER,SAI,NOR,HAM,PER,
Budapest,Francez,LEC,VER,SAI,HAM,ALO,PER,
Budapest,Ferrari,LEC,VER,PER,SAI,HAM,VET,
Budapest,Guilherme,LEC,VER,SAI,HAM,PER,NOR,
Budapest,Dalla,LEC,VER,SAI,HAM,PER,NOR,
Budapest,Lage,LEC,VER,NOR,SAI,PER,RUS,
Spa,Guilherme,PER,SAI,RUS,HAM,NOR,ALO,
Spa,Francez,VER,LEC,SAI,HAM,NOR,ALO,
Spa,Ferrari,SAI,PER,HAM,RUS,GAS,ALO,
Spa,Vinícius,SAI,PER,RUS,HAM,ALO,VET,
Spa,CALIMAN,VER,LEC,SAI,NOR,HAM,PER,
Spa,Dalla,PER,NOR,SAI,RUS,HAM,ALO,
Spa,Igor,PER,SAI,HAM,RUS,ALO,NOR,
Spa,Lage,PER,SAI,HAM,NOR,RUS,GAS,
Zandvoort,Ferrari,VER,LEC,PER,SAI,HAM,GAS,
Zandvoort,Caliman,VER,LEC,SAI,PER,NOR,HAM,
Zandvoort,Guilherme,VER,LEC,SAI,PER,RUS,HAM,
Zandvoort,DALLA,VER,LEC,SAI,RUS,HAM,PER,
Zandvoort,Igor,VER,LEC,SAI,PER,HAM,NOR,
Zandvoort,Lage,LEC,VER,SAI,PER,HAM,NOR,
Zandvoort,Francez,VER,LEC,SAI,HAM,PER,RUS,
Monza,Guilherme,VER,LEC,SAI,PER,RUS,ALO,
Monza,Ferrari,LEC,VER,HAM,RUS,PER,SAI,
Monza,FRANCEZ,LEC,VER,PER,GAS,HAM,TSU,
Monza,Caliman,LEC,VER,RUS,NOR,PER,ALO,
Monza,Vinícius,LEC,VER,SAI,NOR,PER,RUS,
Monza,Igor,VER,LEC,PER,RUS,ALO,NOR,
Monza,DALLA,VER,LEC,SAI,PER,RUS,HAM,
Monza,Lage,VER,LEC,SAI,RUS,PER,HAM,
Marina Bay,Vinicius,LEC,SAI,VER,HAM,RUS,PER,
Marina Bay,Ferrari,LEC,VER,SAI,PER,HAM,RUS,
Marina Bay,Francez,VER,LEC,SAI,HAM,PER,RUS,
Marina Bay,Igor,LEC,VER,SAI,RUS,PER,HAM,
Marina Bay,Caliman,LEC,VER,SAI,HAM,RUS,PER,
Marina Bay,Guilherme,VER,LEC,SAI,HAM,RUS,PER,
Marina Bay,Dalla,LEC,VER,SAI,RUS,HAM,PER,
Suzuka,Vinícius,VER,LEC,PER,SAI,RUS,HAM,
Suzuka,Ferrari,LEC,VER,PER,SAI,HAM,ALO,
Suzuka,Caliman,LEC,VER,SAI,RUS,PER,HAM,
Suzuka,Francez,VER,LEC,SAI,HAM,PER,RUS,
Suzuka,Igor,VER,LEC,SAI,PER,RUS,HAM,
Suzuka,Guilherme,VER,LEC,SAI,PER,HAM,RUS,
Suzuka,DALLA,VER,LEC,SAI,PER,RUS,ALO,
Austin,Caliman,LEC,VER,SAI,PER,HAM,RUS,
Austin,Vinícius,LEC,VER,SAI,PER,HAM,RUS,
Austin,Ferrari,VER,LEC,PER,HAM,SAI,RUS,
Austin,Dalla,VER,LEC,SAI,PER,HAM,ALO,
Austin,Guilherme,VER,PER,LEC,SAI,RUS,HAM,
Austin,Igor,VER,LEC,PER,SAI,HAM,RUS,
Austin,Francez,VER,LEC,SAI,HAM,PER,RUS,
Mexico City,Guilherme,VER,LEC,HAM,SAI,RUS,PER,
Mexico City,Vinícius,SAI,VER,LEC,PER,HAM,RUS,
Mexico City,Dalla,RUS,VER,HAM,LEC,PER,SAI,
Mexico City,Ferrari,PER,VER,LEC,HAM,SAI,RUS,
Mexico City,Francez,VER,LEC,PER,HAM,ALO,RUS,
Mexico City,Igor,VER,LEC,PER,HAM,SAI,RUS,
Mexico City,Caliman,VER,LEC,PER,SAI,HAM,RUS,
São Paulo,Guilherme,VER,PER,LEC,HAM,SAI,BOT,
São Paulo,Caliman,VER,LEC,PER,SAI,HAM,RUS,
São Paulo,Ferrari,VER,LEC,HAM,PER,SAI,RUS,
São Paulo,Vinicius,VER,LEC,PER,SAI,HAM,RUS,
São Paulo,Igor,VER,LEC,HAM,SAI,RUS,PER,
São Paulo,Dalla,VER,LEC,PER,SAI,HAM,ALO,
São Paulo,FRANCEZ,VER,HAM,LEC,SAI,RUS,PER,
Abu Dhabi,Vinícius,VER,LEC,RUS,HAM,SAI,PER,
Abu Dhabi,Ferrari,PER,VER,LEC,HAM,RUS,SAI,
Abu Dhabi,Francez,VER,PER,LEC,HAM,SAI,RUS,
Abu Dhabi,Igor,VER,HAM,LEC,RUS,SAI,PER,
Abu Dhabi,Caliman,VER,RUS,LEC,HAM,PER,SAI,
Abu Dhabi,Guilherme,VER,HAM,RUS,LEC,ALO,SAI,
Abu Dhabi,Dalla,VER,PER,LEC,HAM,RUS,SAI,
