circuito,nome,p1,p2,p3,p4,p5,p6,pos
Sakhir,Guilherme,VER,LEC,HAM,SAI,GAS,RUS,
Sakhir,Ferrari,HAM,VER,LEC,RUS,SAI,MAG,
Sakhir,Caliman,LEC,VER,SAI,HAM,RUS,GAS,
Sakhir,Vinícius,VER,LEC,SAI,RUS,HAM,GAS,
Sakhir,Igor,VER,SAI,HAM,LEC,GAS,RUS,
Sakhir,DALLA,VER,LEC,HAM,SAI,RUS,PER,
Sakhir,Sergio,RUS,GAS,PER,NOR,MAG,ALO,
Jeddah,Ferrari,LEC,VER,SAI,HAM,BOT,MAG,
Jeddah,Vinícius,LEC,VER,SAI,PER,HAM,RUS,
Jeddah,Gui,VER,LEC,SAI,PER,GAS,BOT,
Jeddah,Caliman,LEC,VER,SAI,HAM,PER,BOT,
Jeddah,Dalla,VER,LEC,SAI,PER,HAM,RUS,
Jeddah,Francez,LEC,VER,HAM,PER,BOT,RUS,
Jeddah,Rodrigo,VER,SAI,LEC,PER,HAM,BOT,
Jeddah,Igor,LEC,VER,SAI,HAM,PER,BOT,
Jeddah,Sergio,LEC,VER,PER,SAI,BOT,MAG,
Melbourne,Ferrari,LEC,SAI,VER,MAG,PER,HAM,
Melbourne,Gui,LEC,VER,SAI,PER,ALO,HAM,
Melbourne,CALIMAN,LEC,SAI,VER,PER,NOR,RUS,
Melbourne,ROD,LEC,VER,SAI,HAM,MAG,BOT,
Melbourne,Vinícius,LEC,VER,SAI,PER,OCO,ALO,
Melbourne,Sergio,NOR,LEC,PER,ALO,SAI,RIC,
Melbourne,Igor,LEC,VER,SAI,PER,HAM,ALO,
Melbourne,Dalla,LEC,SAI,VER,NOR,ALO,PER,
Melbourne,Francez,VER,LEC,SAI,HAM,PER,NOR,
Barcelona,Gui,LEC,RUS,VER,SAI,NOR,HAM,
Barcelona,Vinícius,LEC,SAI,VER,PER,HAM,ALO,
Barcelona,Ferrari,LEC,VER,SAI,HAM,PER,RUS,
Barcelona,CALIMAN,LEC,SAI,VER,RUS,PER,HAM,
Barcelona,DALLA,LEC,VER,SAI,RUS,HAM,PER,
Barcelona,Francez,LEC,VER,HAM,SAI,PER,GAS,
Barcelona,Lage,LEC,VER,SAI,HAM,PER,RUS,
Monte Carlo,CALIMAN,LEC,SAI,PER,VER,NOR,GAS,
Monte Carlo,Ferrari,LEC,PER,VER,SAI,BOT,RUS,
