circuito,nome,p1,p2,p3,p4,p5,p6,pos
Sakhir,Guilherme,VER,ALO,PER,LEC,HAM,SAI,
Sakhir,Caliman,VER,PER,ALO,LEC,SAI,HAM,
Sakhir,Ferrari,VER,ALO,PER,LEC,RUS,HAM,
Sakhir,Igor,VER,ALO,LEC,PER,HAM,RUS,
Sakhir,Francez,VER,LEC,PER,ALO,HAM,SAI,
Sakhir,Vinicius,VER,PER,LEC,ALO,SAI,HAM,
Sakhir,Eleazar,HAM,VER,ALO,PER,LEC,RUS,
Sakhir,Lage,VER,ALO,PER,LEC,HAM,RUS,
Jeddah,Vinícius,VER,PER,LEC,ALO,SAI,HAM,
Jeddah,Caliman,VER,PER,ALO,SAI,RUS,STR,
Jeddah,Guilherme,VER,PER,ALO,LEC,GAS,HAM,
Jeddah,Ferrari,VER,PER,LEC,ALO,SAI,HAM,
Jeddah,Lage,VER,PER,ALO,RUS,LEC,STR,
Jeddah,Igor,VER,ALO,PER,RUS,HAM,STR,
Jeddah,FRANCEZ,VER,PER,ALO,HAM,SAI,LEC,
Jeddah,Dalla,VER,PER,ALO,HAM,STR,LEC,
Jeddah,Luciano,VER,PER,ALO,RUS,STR,OCO,
Jeddah,Eleazar,VER,PER,HAM,ALO,RUS,STR,
Melbourne,Guilherme,VER,PER,ALO,LEC,HAM,RUS,
Melbourne,Ferrari,VER,PER,ALO,LEC,HAM,SAI,
Melbourne,Igor,VER,PER,ALO,LEC,RUS,HAM,
Melbourne,Caliman,VER,PER,ALO,LEC,SAI,RUS,
Melbourne,Vinicius,VER,LEC,ALO,PER,SAI,RUS,
Melbourne,Eleazar,VER,PER,HAM,ALO,RUS,LEC,
Melbourne,Francez,VER,ALO,PER,HAM,SAI,LEC,
Melbourne,Lage,VER,ALO,PER,LEC,RUS,SAI,
Melbourne,Luciano,VER,ALO,PER,RUS,SAI,OCO,
Melbourne,Dalla,VER,ALO,PER,LEC,RUS,SAI,
Baku,Guilherme,VER,LEC,PER,ALO,SAI,NOR,
Baku,Ferrari,VER,PER,LEC,ALO,PER,HAM,
Baku,Eleazar,VER,HAM,PER,RUS,ALO,LEC,
Baku,Igor,VER,ALO,PER,RUS,LEC,HAM,
Baku,Vinícius,VER,PER,ALO,LEC,RUS,HAM,
Baku,Caliman,VER,PER,ALO,LEC,SAI,RUS,
Baku,Dalla,VER,PER,LEC,SAI,ALO,HAM,
Baku,Lage,VER,LEC,PER,SAI,HAM,ALO,
Miami,Caliman,VER,LEC,PER,SAI,ALO,HAM,
Miami,Vinícius,VER,LEC,SAI,PER,ALO,HAM,
Miami,Ferrari,VER,LEC,PER,HAM,ALO,RUS,
Miami,FRANCEZ,VER,ALO,LEC,HAM,PER,SAI,
Miami,Igor,VER,PER,LEC,HAM,ALO,SAI,
Miami,Eleazar,VER,PER,HAM,RUS,SAI,ALO,
Miami,Lage,VER,PER,LEC,SAI,ALO,HAM,
Miami,Guilherme,VER,LEC,PER,HAM,SAI,RUS,
Miami,Dalla,VER,LEC,PER,SAI,RUS,HAM,
Monte Carlo,Guilherme,LEC,PER,ALO,VER,HAM,SAI,
Monte Carlo,Francez,LEC,ALO,SAI,HAM,VER,PER,
Monte Carlo,Lage,VER,LEC,PER,ALO,SAI,HAM,
Monte Carlo,Vinícius,LEC,VER,SAI,ALO,HAM,PER,
Monte Carlo,Ferrari,LEC,VER,PER,SAI,HAM,ALO,
Monte Carlo,Caliman,LEC,VER,SAI,ALO,PER,HAM,
Monte Carlo,Eleazar,VER,HAM,ALO,PER,LEC,SAI,
Monte Carlo,Dalla,VER,PER,LEC,SAI,ALO,NOR,
Monte Carlo,Igor,VER,LEC,PER,SAI,ALO,HAM,
Barcelona,Vinícius,VER,ALO,PER,LEC,OCO,HAM,
Barcelona,Ferrari,VER,LEC,ALO,PER,HAM,SAI,
Barcelona,Guilherme,VER,ALO,PER,LEC,HAM,RUS,
Barcelona,Caliman,VER,PER,ALO,LEC,SAI,OCO,
Barcelona,Lage,VER,PER,ALO,SAI,RUS,LEC,
Barcelona,Francez,VER,ALO,PER,LEC,SAI,HAM,
Barcelona,Eleazar,VER,PER,HAM,ALO,RUS,LEC,
Barcelona,DALLA,VER,PER,ALO,SAI,LEC,HAM,
Barcelona,Igor,VER,PER,LEC,ALO,HAM,SAI,
Montreal,Vinícius,VER,LEC,SAI,PER,HAM,ALO,
Montreal,Ferrari,VER,LEC,PER,SAI,ALO,HAM,
Montreal,Francez,VER,PER,ALO,HAM,LEC,SAI,
Montreal,Lage,VER,LEC,ALO,HAM,SAI,MAG,
Montreal,Guilherme,VER,LEC,ALO,PER,RUS,SAI,
Montreal,Caliman,VER,LEC,PER,SAI,ALO,HAM,
Montreal,Dalla,VER,LEC,ALO,SAI,RUS,NOR,
Montreal,Igor,VER,LEC,ALO,HAM,PER,SAI,
Spielberg,Ferrari,VER,LEC,PER,ALO,HAM,SAI,
Spielberg,Vinícius,VER,LEC,ALO,PER,SAI,HAM,
Spielberg,Caliman,VER,ALO,LEC,PER,SAI,HAM,
Spielberg,Dalla,VER,PER,LEC,ALO,HAM,SAI,
Spielberg,Francez,VER,HAM,ALO,LEC,PER,SAI,
Spielberg,Lage,VER,SAI,PER,LEC,HAM,ALO,
Spielberg,Igor,VER,LEC,ALO,HAM,SAI,PER,
Spielberg,Guilherme,VER,LEC,HAM,ALO,SAI,STR,
Silverstone,Vinícius,VER,LEC,SAI,PER,ALB,ALO,
Silverstone,Ferrari,VER,LEC,PER,ALO,SAI,ALB,
Silverstone,Guilherme,VER,LEC,PER,HAM,ALO,ALB,
Silverstone,Caliman,VER,SAI,LEC,ALO,PER,ALB,
Silverstone,Lage,VER,LEC,PER,SAI,ALO,ALB,
Silverstone,Igor,VER,LEC,ALO,SAI,PER,ALB,
Silverstone,Dalla,VER,SAI,LEC,HAM,ALB,PER,
Silverstone,Francez,VER,SAI,HAM,PER,ALO,SAI,
Budapest,Vinícius,VER,LEC,NOR,SAI,PIA,OCO,
Budapest,Ferrari,VER,LEC,SAI,NOR,ALO,HAM,
Budapest,Caliman,VER,LEC,NOR,SAI,HAM,ALO,
Budapest,Guilherme,VER,HAM,LEC,NOR,PER,RUS,
Budapest,Lage,VER,LEC,NOR,SAI,PER,ALO,
Budapest,Igor,VER,LEC,NOR,HAM,SAI,ALO,
Budapest,Dalla,VER,LEC,NOR,HAM,PER,SAI,
Budapest,FRANCEZ,VER,HAM,LEC,PER,ALO,SAI,
Spa,Vinícius,VER,NOR,LEC,PIA,SAI,HAM,
Spa,Ferrari,VER,LEC,NOR,PIA,HAM,RUS,
Spa,Francez:,VER,HAM,LEC,PER,SAI,PIA,
Spa,Caliman,VER,NOR,LEC,HAM,PIA,SAI,
Spa,Guilherme,VER,HAM,NOR,LEC,PIA,SAI,
Spa,Lage,VER,HAM,NOR,SAI,PER,LEC,
Spa,Igor,VER,NOR,HAM,LEC,SAI,RUS,
Spa,Dalla,VER,NOR,HAM,LEC,PIA,SAI,
Zandvoort,Guilherme,VER,HAM,RUS,PER,NOR,ALO,
Zandvoort,Ferrari,VER,LEC,NOR,PER,HAM,PIA,
Zandvoort,Francez,VER,HAM,LEC,PER,RUS,NOR,
Zandvoort,Igor,VER,LEC,NOR,PER,HAM,PIA,
Zandvoort,Vinicius,VER,NOR,HAM,ALO,PER,PIA,
Zandvoort,Lage,VER,PER,NOR,LEC,HAM,PIA,
Zandvoort,Caliman,VER,NOR,PER,HAM,PIA,LEC,
Zandvoort,Dalla,VER,PER,HAM,RUS,ALO,NOR,
Monza,Vinícius,VER,LEC,SAI,NOR,PIA,PER,
Monza,Ferrari,LEC,VER,NOR,ALO,PER,HAM,
Monza,Guilherme,VER,SAI,LEC,HAM,NOR,ALO,
Monza,Igor,VER,SAI,NOR,LEC,HAM,RUS,
Monza,Dalla,VER,SAI,LEC,NOR,PER,ALO,
Monza,Caliman,VER,LEC,SAI,NOR,HAM,ALO,
Monza,Francez,VER,LEC,HAM,SAI,PER,ALO,
Monza,Lage,VER,SAI,LEC,HAM,NOR,ALO,
Marina Bay,Vinícius,LEC,SAI,VER,NOR,RUS,HAM,
Marina Bay,Guilherme,LEC,VER,SAI,PER,HAM,NOR,
Marina Bay,Caliman,SAI,LEC,VER,HAM,RUS,NOR,
Marina Bay,Igor,VER,SAI,LEC,RUS,PER,NOR,
Marina Bay,Lage,VER,SAI,LEC,NOR,RUS,HAM,
Marina Bay,Ferrari,LEC,VER,SAI,HAM,PER,RUS,
Marina Bay,Dalla,SAI,LEC,NOR,VER,RUS,HAM,
Suzuka,Caliman,VER,SAI,LEC,NOR,RUS,ALO,
Suzuka,Ferrari,VER,LEC,SAI,NOR,PER,HAM,
Suzuka,FRANCEZ,VER,SAI,NOR,LEC,ALO,HAM,
Suzuka,Igor,VER,LEC,NOR,SAI,HAM,PER,
Suzuka,Guilherme,VER,SAI,LEC,NOR,PER,HAM,
Suzuka,Vinícius,VER,LEC,SAI,NOR,RUS,PIA,
Suzuka,Lage,VER,LEC,SAI,PER,NOR,HAM,
Suzuka,Dalla,VER,SAI,NOR,LEC,PER,HAM,
Lusail,Guilherme,VER,LEC,NOR,HAM,PER,SAI,
Lusail,FRANCEZ,VER,LEC,HAM,PER,SAI,ZZZ,
Lusail,Ferrari,VER,LEC,SAI,NOR,HAM,PIA,
Lusail,Caliman,VER,LEC,SAI,NOR,PIA,HAM,
Lusail,Igor,VER,LEC,HAM,SAI,PER,NOR,
Lusail,Vinícius,VER,LEC,SAI,NOR,PIA,PER,
Lusail,Lage,VER,SAI,PIA,LEC,NOR,HAM,
Lusail,Dalla,VER,SAI,NOR,LEC,PER,ALO,
Austin,Guilherme,VER,LEC,NOR,SAI,HAM,PER,
Austin,Ferrari,VER,NOR,LEC,SAI,HAM,PIA,
Austin,Vinícius,VER,LEC,HAM,PER,NOR,RUS,
Austin,Lage,VER,LEC,PIA,HAM,SAI,NOR,
Austin,Dalla,VER,LEC,HAM,PER,NOR,RUS,
Austin,Igor,VER,LEC,NOR,PIA,HAM,SAI,
Austin,Caliman,VER,NOR,LEC,SAI,PIA,HAM,
Austin,Francez,VER,LEC,HAM,ALO,PER,NOR,
Mexico City,Guilherme,VER,NOR,PER,HAM,LEC,PIA,
Mexico City,Caliman,PER,VER,LEC,NOR,SAI,HAM,
Mexico City,Vinícius,VER,NOR,LEC,PIA,PER,SAI,
Mexico City,Ferrari,VER,LEC,HAM,SAI,RUS,PER,
Mexico City,Lage,VER,LEC,NOR,PER,HAM,RUS,
Mexico City,Dalla,VER,RUS,PER,HAM,NOR,LEC,
Mexico City,Igor,VER,LEC,NOR,RUS,PIA,HAM,
Mexico City,Francez,VER,PER,LEC,HAM,NOR,PIA,
São Paulo,Guilherme,VER,LEC,HAM,NOR,PER,SAI,
São Paulo,Ferrari,HAM,VER,RUS,LEC,NOR,PER,
São Paulo,Francez,VER,HAM,LEC,SAI,PER,RUS,
São Paulo,Vinícius,VER,LEC,HAM,NOR,SAI,RUS,
São Paulo,Lage,VER,SAI,LEC,HAM,RUS,NOR,
São Paulo,Caliman,VER,SAI,LEC,HAM,NOR,RUS,
São Paulo,Igor,VER,LEC,HAM,NOR,RUS,PER,
São Paulo,Dalla,VER,LEC,HAM,SAI,PER,RUS,
Las Vegas,Vinícius,LEC,VER,SAI,NOR,ALO,PIA,
Las Vegas,Ferrari,LEC,VER,PER,NOR,PIA,ALO,
Las Vegas,Lage,LEC,VER,SAI,PER,ALO,NOR,
Las Vegas,Igor,LEC,VER,SAI,PER,NOR,PIA,
Las Vegas,Francez,VER,LEC,HAM,PER,NOR,ALO,
Las Vegas,Guilherme,VER,NOR,PER,SAI,LEC,PIA,
Las Vegas,Dalla,LEC,VER,SAI,NOR,RUS,PIA,
Abu Dhabi,Ferrari,VER,LEC,HAM,NOR,SAI,RUS,
Abu Dhabi,Dalla,LEC,VER,NOR,RUS,PER,PIA,
Abu Dhabi,Vinícius,LEC,VER,NOR,SAI,PER,HAM,
Abu Dhabi,Caliman,VER,LEC,SAI,NOR,HAM,PER,
Abu Dhabi,Guilherme,VER,LEC,SAI,NOR,PER,HAM,
Abu Dhabi,Igor,VER,LEC,NOR,SAI,HAM,PER,
Abu Dhabi,Lage,VER,LEC,RUS,PIA,PER,NOR,
Abu Dhabi,Francez,VER,LEC,HAM,PER,RUS,ALO,
